AGENT_NAME,WEEK_START,CASES_HANDLED,CASES_RESOLVED,AVG_RESOLUTION_TIME_HOURS,AVG_CSAT_SCORE,ESCALATION_RATE
Sarah Chen,2025-12-01,10,8,11.7,4.4,0.03
Sarah Chen,2025-12-08,15,13,15.2,3.8,0.04
Sarah Chen,2025-12-15,22,20,9.3,3.5,0.04
Sarah Chen,2025-12-22,22,15,10.0,4.5,0.09
Sarah Chen,2025-12-29,15,12,6.6,3.6,0.2
Sarah Chen,2026-01-05,14,12,4.7,3.6,0.05
Sarah Chen,2026-01-12,21,14,5.6,3.7,0.18
Sarah Chen,2026-01-19,8,7,12.7,3.9,0.22
Sarah Chen,2026-01-26,17,12,7.2,3.8,0.13
Sarah Chen,2026-02-02,9,8,10.3,4.2,0.03
Sarah Chen,2026-02-09,15,14,5.1,3.8,0.11
Sarah Chen,2026-02-16,10,8,5.4,3.9,0.11
Mike Rodriguez,2025-12-01,9,7,10.8,3.8,0.08
Mike Rodriguez,2025-12-08,18,17,5.3,4.5,0.1
Mike Rodriguez,2025-12-15,22,17,10.5,4.1,0.2
Mike Rodriguez,2025-12-22,11,8,10.4,4.4,0.11
Mike Rodriguez,2025-12-29,25,20,9.3,3.4,0.13
Mike Rodriguez,2026-01-05,11,7,9.8,3.5,0.18
Mike Rodriguez,2026-01-12,9,6,9.9,3.7,0.18
Mike Rodriguez,2026-01-19,19,15,11.0,4.0,0.21
Mike Rodriguez,2026-01-26,13,9,6.7,4.2,0.19
Mike Rodriguez,2026-02-02,15,10,12.6,4.4,0.05
Mike Rodriguez,2026-02-09,9,8,10.3,3.9,0.21
Mike Rodriguez,2026-02-16,19,16,10.0,3.8,0.15
Priya Patel,2025-12-01,10,7,14.0,4.3,0.12
Priya Patel,2025-12-08,12,8,11.6,3.2,0.05
Priya Patel,2025-12-15,22,15,11.4,3.7,0.19
Priya Patel,2025-12-22,23,16,8.4,3.6,0.07
Priya Patel,2025-12-29,13,10,7.7,4.0,0.16
Priya Patel,2026-01-05,15,13,3.8,3.9,0.13
Priya Patel,2026-01-12,10,7,10.1,4.2,0.22
Priya Patel,2026-01-19,24,18,12.1,3.9,0.02
Priya Patel,2026-01-26,20,18,7.0,4.4,0.13
Priya Patel,2026-02-02,24,18,8.9,4.0,0.16
Priya Patel,2026-02-09,8,7,9.2,3.7,0.25
Priya Patel,2026-02-16,24,19,7.4,3.7,0.06
James Wilson,2025-12-01,15,13,8.5,4.8,0.23
James Wilson,2025-12-08,9,8,12.1,3.7,0.25
James Wilson,2025-12-15,20,15,11.6,3.1,0.06
James Wilson,2025-12-22,18,16,7.2,2.9,0.03
James Wilson,2025-12-29,19,18,6.0,3.6,0.06
James Wilson,2026-01-05,23,19,9.3,4.0,0.03
James Wilson,2026-01-12,15,10,6.8,4.0,0.16
James Wilson,2026-01-19,12,9,11.0,4.7,0.22
James Wilson,2026-01-26,9,6,4.2,3.3,0.2
James Wilson,2026-02-02,24,22,11.3,3.8,0.24
James Wilson,2026-02-09,20,17,7.9,4.3,0.24
James Wilson,2026-02-16,21,19,12.5,3.7,0.06
Emma Thompson,2025-12-01,25,22,13.0,3.5,0.07
